"","myframe","Est","Sample","p5","p10","p15","p20","p25","p30","p40","p50","distribution","model","Diam_distribution"
"5555","myframe_S","E3",80,0.3924,0.6983,0.8778,0.9591,0.9863,0.9961,0.9998,1,"Truncated Triangles","Model 4","Arb"
"5556","myframe_S","E3",130,0.4905,0.8122,0.9517,0.9893,0.9975,0.9996,1,1,"Truncated Triangles","Model 4","Arb"
"5557","myframe_S","E3",215,0.5973,0.9027,0.9841,0.9985,0.9999,1,1,1,"Truncated Triangles","Model 4","Arb"
"5558","myframe_S","E3",360,0.7256,0.9709,0.9983,0.9999,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5559","myframe_S","E3",600,0.8412,0.9945,0.9999,1,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5560","myframe_S","E3",1000,0.9353,0.9997,1,1,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5561","myframe_S","E4",10,0.213,0.4106,0.5921,0.7334,0.8385,0.9062,0.9652,0.9871,"Truncated Triangles","Model 4","Arb"
"5562","myframe_S","E4",15,0.2771,0.5129,0.7124,0.846,0.9213,0.9602,0.9888,0.9972,"Truncated Triangles","Model 4","Arb"
"5563","myframe_S","E4",30,0.3726,0.6652,0.8568,0.9467,0.9795,0.993,0.9992,1,"Truncated Triangles","Model 4","Arb"
"5564","myframe_S","E4",45,0.4529,0.7662,0.9249,0.9815,0.9955,0.9987,1,1,"Truncated Triangles","Model 4","Arb"
"5565","myframe_S","E4",80,0.5698,0.8931,0.9833,0.9982,0.9998,1,1,1,"Truncated Triangles","Model 4","Arb"
"5566","myframe_S","E4",130,0.6909,0.9577,0.9967,0.9998,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5567","myframe_S","E4",215,0.8107,0.9923,0.9999,1,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5568","myframe_S","E4",360,0.9079,0.9994,1,1,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5569","myframe_S","E4",600,0.9766,1,1,1,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5570","myframe_S","E4",1000,0.9967,1,1,1,1,1,1,1,"Truncated Triangles","Model 4","Arb"
"5571","myframe_S","E5",10,0.3355,0.6162,0.8118,0.9237,0.9771,0.9941,0.9993,0.9999,"Truncated Triangles","Model 4","Arb"
"5572","myframe_S","E5",15,0.4302,0.7463,0.9147,0.9781,0.996,0.9995,1,1,"Truncated Triangles","Model 4","Arb"
